HumanSays:,RobotSays:
HumanSays:,RobotSays:
Who are you?,I am the assistant of GGSESTC
Who are you?,I am a Python powered ChatBot.
Who are you?,I am a ChatBot running on Python which is part of artificial intelligence.
Hello,Welcome to GGSESTC.
Hi,Hello World!
Greetings,Hello World!
Hey,Hello World!
What's up?,Hello World!
Who are you?,I am Assistant of GGSESTC.
What is your name?,GGSESTC Chatbot.
where is this college located ?,Chas Bokaro.
College address?,Chas Bokaro.
address?,Chas Boakro.
Address of collge?,Chas Boakro.
Contact Number?,"8877105264,Addmission cell"
contact number?,"8877105264,Addmission cell"
number?,"887105264,Addmisson cell"
Timing of college?,10:00 am to 4:30 pm
Timing of office?,10:00 am to 4:30 pm
office time?,10:00 am to 4:30 pm
working hour?,10:00 am to 4:30 pm
Streams?,"CSE,EE/EEE,CIVIL,ME,ECE,MBA"
branchs?,"CSE,EE/EEE,CIVIL,ME,ECE,MBA"
streams?,"CSE,EE/EEE,CIVIL,ME,ECE,MBA"
Branchs?,"CSE,EE/EEE,CIVIL,ME,ECE,MBA"
how many courses available?,"CSE,EE/EEE,CIVIL,ME,ECE,MBA"
Courses?,"CSE,EE/EEE,CIVIL,ME,ECE,MBA"
courses?,"CSE,EE/EEE,CIVIL,ME,ECE,MBA"
contact details?,"8877105264,Addmision cell"
full form?,Guru Gobind Singh Educational Society's Technical Campus.
Full form?,Guru Gobind Singh Educational Society's Technical Campus.
full name ?,Guru Gobind Singh Educational Society's Technical Campus.
name?,Chatbot.
Hod of cse?,Bhaskar Nand.
hod of cse?,Bhaskar Nand.
Hod of EE?,Contact to this number 8877105264
hod of EE?,Contact to this number 8877105264
hod of CSE?,Professor Bhaskar Nand.
HOD of CSE?,Prof.Bhaskar Nand.
hod of ee?,Contact to this number 8877105264
HOD of EEE?,Contact to this number 8877105264
hod of EEE?,Contact to this number 8877105264
hod of eee?,Contact to this number 8877105264
HOD of CIVIL?,Contact to this number 8877105264
hod of civil?,Contact to this number 8877105264
hod of CIVIL?,Contact to this number 8877105264
Dean?,Avinash sir
Director?,Dr. Bikash Ghosal
dean?,Avinash sir
director?,Dr. Bikash Ghosal
Diector of college?,Dr. Bikash Ghosal
director of college?,Dr. Bikash Ghosal
dean of college?,Avinash sir
Dean of college?,Avinash sir
thanks?,nice conversation with you
thank you?,nice conversation with you
i love you?,you make me feel like loving u too
who created you?,Build by a team.
how are you?,I am Good?
fee of 1 year?,RS78850
fee of 2nd year?,Rs76850
fee of 3rd year?,Rs74000
fee of 4th year?,Rs68000
email-id,info@ggsestc.ac.in
What time is it?,getTIME
Got the time?,getTIME
When is it?,getTIME
What day is it?,getDATE
What is the date?,getDATE
Do you know what time it is?,getTIME
Do you have the time,getTIME
